True Neutrino Energy Bin Index,Reco Neutrino Energy Bin Index,Relative Number of Events
7,34,0.0
7,35,0.0
7,36,0.0
7,37,0.0
7,38,0.0
7,39,0.0
7,40,0.0
7,41,0.0
7,42,0.0
7,43,0.0
7,44,0.0
7,45,0.0
7,46,0.0
7,47,0.0
7,48,0.0
7,49,0.0
7,50,0.0
7,51,0.0
7,52,0.0
7,53,0.0
7,54,0.0
7,55,0.0
7,56,0.0
7,57,0.0
7,58,0.0
7,59,0.0
8,0,0.0
8,1,4.637803650725208e-06
8,2,1.0252314304153558
8,3,5.331356987768905
8,4,24.815630578829705
8,5,43.87441372221326
8,6,65.42693414238087
8,7,81.64721059072357
8,8,51.04063577929919
8,9,19.769686245702243
8,10,7.692470093636308
8,11,4.272321436640911
8,12,2.7992905210072423
8,13,3.0609115521418993
8,14,1.306886239129918
8,15,0.7042163817552578
8,16,0.0
8,17,0.518789229936801
8,18,0.8959786286706511
8,19,1.1880070273072858
8,20,0.27836005528139496
8,21,0.8499235243043304
8,22,0.0
8,23,0.0
8,24,0.0
8,25,0.0
8,26,0.0
8,27,0.0
8,28,0.0
8,29,0.0
8,30,0.0
8,31,0.0
8,32,0.0
8,33,0.0
8,34,0.0
8,35,2.83084779438935
8,36,0.0
8,37,0.0
8,38,0.0
8,39,0.0
8,40,0.0
8,41,0.0
8,42,0.0
8,43,0.0
8,44,0.0
8,45,0.0
8,46,0.0
8,47,0.0
8,48,0.0
8,49,0.0
8,50,0.0
8,51,0.0
8,52,0.0
8,53,0.0
8,54,0.0
8,55,0.0
8,56,0.0
8,57,0.0
8,58,0.0
8,59,0.0
9,0,0.2783033268033222
9,1,0.9004950885926755
9,2,0.5005565820295685
9,3,5.123433878601257
9,4,32.22154482670086
9,5,68.28932321545194
9,6,87.4431546766731
9,7,108.7178596841529
9,8,91.64911787729532
9,9,75.75566242830476
9,10,27.950601120590896
9,11,22.907521324438687
9,12,6.374093689110306
9,13,5.2641398640144885
9,14,4.421925260616704
9,15,4.315137584013082
9,16,1.284464674672783
9,17,0.8286905601069219
9,18,2.4713662070165765
9,19,1.4620482140332989
9,20,0.2811752825969933
9,21,0.485706944567082
9,22,0.0
9,23,2.085172403161323e-05
9,24,0.5056243422566079
9,25,0.45726321222039196
9,26,0.2693383425271664
9,27,0.0
9,28,0.28020134161160903
9,29,0.0
9,30,0.0
9,31,0.40322094288181726
9,32,0.0
9,33,0.0
9,34,0.0
9,35,0.0
9,36,0.0
9,37,0.0
9,38,0.0
9,39,0.0
9,40,0.0
9,41,0.0
9,42,0.0
9,43,0.0
9,44,0.0
9,45,0.0
9,46,0.0
9,47,0.0
9,48,0.0
9,49,0.0
9,50,0.0
9,51,0.0
9,52,0.0
9,53,0.0
9,54,0.0
9,55,0.0
9,56,0.0
9,57,0.0
9,58,0.0
9,59,0.0
10,0,0.0
10,1,0.6488447780159293
10,2,0.37561391989128734
10,3,7.125133707390516
10,4,32.52230344995195
10,5,69.68303867440696
10,6,114.33218497964371
10,7,138.754403015659
10,8,142.87895792546206
10,9,126.37245717878135
10,10,92.92808368145874
10,11,40.04741695230984
10,12,20.4670828348556
10,13,11.207040969675155
10,14,6.763259287140133
10,15,6.862538095689339
10,16,3.147233632877196
10,17,2.3846635834488548
10,18,1.7999978069624567
10,19,0.46119043214890876
10,20,1.2178438463407468
10,21,1.500746726102467
10,22,1.5857455277840065
10,23,1.0094673013689655
10,24,1.077923852633971
10,25,0.3529168498065291
10,26,0.39770464996768085
10,27,0.0
10,28,0.0
10,29,0.0
10,30,0.0
10,31,0.0
10,32,0.0
10,33,0.0
10,34,0.0
10,35,0.0
10,36,0.0
10,37,0.0
10,38,0.0
10,39,0.0
10,40,0.0
10,41,0.19611630479661815
10,42,0.0
10,43,0.0
10,44,0.0
10,45,0.0
10,46,0.0
10,47,0.0
10,48,0.0
10,49,0.0
10,50,0.0
10,51,0.0
10,52,0.0
10,53,0.0
10,54,0.0
10,55,0.0
10,56,0.0
10,57,0.0
10,58,0.0
10,59,0.0
11,0,0.0
11,1,0.0
11,2,2.2189155661627376
11,3,8.657418368509946
11,4,33.56416328403606
11,5,84.14152299290555
11,6,125.23164249237487
11,7,148.6710587487189
11,8,184.81509476122275
11,9,164.09501204709568
11,10,161.93628638861185
11,11,108.25839973975799
11,12,53.978186227087186
11,13,24.622051602765794
11,14,17.345731354493054
11,15,10.712109871269965
11,16,7.121535698149184
11,17,3.7869228043741954
11,18,5.015598983058035
11,19,3.16121507220432
11,20,1.5066949164105639
11,21,1.8926829817039386
11,22,1.7115507007454585
11,23,1.0059292192253884
11,24,0.0
11,25,2.4592392913628633
11,26,0.8639006940064827
11,27,0.0
11,28,0.6823389429598093
11,29,0.5375952358773382
11,30,0.0
11,31,0.451042543269775
11,32,0.5228285354548349
11,33,0.0
11,34,0.0
11,35,0.0
11,36,0.0
11,37,0.0
11,38,0.0
11,39,0.0
11,40,0.0
11,41,0.0
11,42,0.0
11,43,0.0
11,44,0.0
11,45,0.0
11,46,0.0
11,47,0.0
11,48,0.0
11,49,0.0
11,50,0.0
11,51,0.0
11,52,0.0
11,53,0.0
11,54,0.0
11,55,0.0
11,56,0.0
11,57,0.0
11,58,0.0
11,59,0.0
12,0,0.4402687558144284
12,1,0.23830198380864084
12,2,1.9116591648500445
12,3,5.393557872048597
12,4,32.33460350794401
12,5,79.08941284414186
12,6,131.63148341636503
12,7,173.40200797377375
12,8,190.00777160147453
12,9,211.55846262284794
12,10,200.62489487629404
12,11,181.59995236141876
12,12,141.2225779510233
12,13,61.93017866574256
12,14,36.29771533057562
12,15,22.855651130405395
12,16,9.545345946059369
12,17,6.707817795520394
12,18,5.984047035988511
12,19,3.31433769560245
12,20,3.2464147010994866
12,21,3.15160849125727
12,22,1.3256129376503654
12,23,0.7735450851592403
12,24,1.91315520565062
12,25,1.1498073673611253
12,26,0.3568883364770588
12,27,1.1530316664958007
12,28,0.0
12,29,0.0
12,30,0.0
12,31,0.3620317508467219
12,32,0.020384691776682465
12,33,0.3622291571349725
12,34,0.3413779439538109
12,35,0.0
12,36,0.0
12,37,0.0
12,38,0.0
12,39,0.0
12,40,0.0
12,41,0.0
12,42,0.0
12,43,0.0
12,44,0.0
12,45,0.0
12,46,0.0
12,47,0.0
12,48,0.0
12,49,0.0
12,50,0.0
12,51,0.0
12,52,0.0
12,53,0.0
12,54,0.0
12,55,0.0
12,56,0.0
12,57,0.0
12,58,0.0
12,59,0.0
13,0,0.34493797234647716
13,1,1.140311476437612
13,2,0.4471483488537664
13,3,6.453546990891299
13,4,37.34790994882736
13,5,84.72439319762499
13,6,146.96734036137565
13,7,178.9090282688174
13,8,247.26674205109342
13,9,262.0655868029156
13,10,252.36815171105636
13,11,227.69538525730118
13,12,202.19555092586822
13,13,142.8598305589439
13,14,79.84862804856286
13,15,44.35647426325655
13,16,29.862501514946782
13,17,13.97130866890825
13,18,10.70741424547721
13,19,11.982163604638849
13,20,5.557814151395828
13,21,2.237181090650154
13,22,2.213574842457653
13,23,3.3218731099255434
13,24,0.9582770203067854
13,25,2.6959006771589893
13,26,1.0548796075554787
13,27,1.4039270304832314
13,28,1.5102206288955369
13,29,0.3268331710204771
13,30,0.8566641119504731
13,31,0.23051487453490055
13,32,0.3508256505653876
13,33,0.4404227065964864
13,34,0.0
13,35,0.0
13,36,0.27836005528139496
13,37,0.0
13,38,0.0
13,39,0.0
13,40,0.0
13,41,0.0
13,42,0.0
13,43,0.0
13,44,0.0
13,45,0.0
13,46,0.0
13,47,0.0
13,48,0.0
13,49,0.0
13,50,0.0
13,51,0.0
13,52,0.0
13,53,0.0
13,54,0.0
13,55,0.0
13,56,0.0
13,57,0.0
13,58,0.0
13,59,0.0
14,0,0.0
14,1,0.33800864329642305
14,2,2.9119300391491834
14,3,8.505323540856072
14,4,39.57345117649809
14,5,87.25768723082035
14,6,150.751889850435
14,7,183.5887675842961
14,8,241.100055276397
14,9,265.26997741144777
14,10,283.5283609595888
14,11,241.00030104854184
14,12,249.43293568585725
14,13,215.38384144586126
14,14,157.44823968582432
14,15,99.13022659056108
14,16,43.86826316832104
14,17,28.620670599370477
14,18,15.541998512476589
14,19,11.714240646579167
14,20,7.9223327506862615
14,21,4.419885537243634
14,22,5.349096323573349
14,23,4.1529038300537735
14,24,2.979418808551238
14,25,2.518544184908442
14,26,2.49693413638358
14,27,2.0201303246719333
14,28,1.128180210622113
14,29,0.58477233062819
14,30,1.2241575913704648
14,31,0.23754572362488202
14,32,0.6821418930496451
14,33,0.7079555820286516
14,34,0.3422784128926687
14,35,0.3148765352831583
14,36,1.1420173090752446
14,37,0.0
14,38,0.0
14,39,0.0
14,40,0.0
14,41,0.0
14,42,0.0
14,43,0.0
14,44,0.0
14,45,0.0
14,46,0.0
14,47,0.0
14,48,0.0
14,49,0.0
14,50,0.0
14,51,0.0
14,52,0.0
14,53,0.0
14,54,0.0
14,55,0.0
14,56,0.0
14,57,0.0
14,58,0.0
14,59,0.0
15,0,0.0
15,1,0.3433549723496721
15,2,2.2283287404279766
15,3,8.580848629149143
15,4,40.16420315222006
15,5,80.37091860913768
15,6,142.13262516816752
15,7,209.7395951365751
15,8,253.6851816429979
15,9,270.88988802370943
15,10,305.909468251609
15,11,296.6931467516677
15,12,285.37305959626957
15,13,264.2669992694408
15,14,216.46295471304123
15,15,159.17603037467248
15,16,89.08890651777956
15,17,48.384720351369
15,18,33.75193726881295
15,19,23.857008002804527
15,20,14.631868955456705
15,21,12.142074757119527
15,22,9.347782589457797
15,23,4.847904215620809
15,24,4.836133627025497
15,25,4.158437087170882
15,26,4.088990945590041
15,27,2.828561750872336
15,28,1.9909941816546306
15,29,0.9107566052795321
15,30,0.5044005150831109
15,31,1.7593237412608886
15,32,0.8427193462799734
15,33,3.424561437407533
15,34,0.0
15,35,0.8202850608117189
15,36,1.7376037724152662
15,37,0.7131482099298205
15,38,0.2970761889402981
15,39,0.0
15,40,0.0
15,41,0.0
15,42,0.0
15,43,0.40251044435145006
15,44,0.0
15,45,0.0
15,46,0.0
15,47,0.0
15,48,0.0
15,49,0.0
15,50,0.0
15,51,0.0
15,52,0.0
15,53,0.0
15,54,0.0
15,55,0.0
15,56,0.0
15,57,0.0
15,58,0.0
15,59,0.0
16,0,0.0
16,1,0.3413864842287106
16,2,4.436918546261125
16,3,12.866985629656543
16,4,44.52613653728082
16,5,91.96079736571262
16,6,141.75557852500953
16,7,195.85637755234666
16,8,248.97880038427263
16,9,280.2165203925432
16,10,293.41932457810947
16,11,304.67116325679046
16,12,318.1636118247669
16,13,275.0126752066582
16,14,237.0082947513126
16,15,214.01678135474688
16,16,169.04691982665278
16,17,110.36079411931465
16,18,65.6841639858639
16,19,35.16767344727846
16,20,24.493487166389173
16,21,18.19935830826693
16,22,10.654744816072371
16,23,5.037371857600972
16,24,7.698308853977156
16,25,6.591090668005175
16,26,3.755322600180644
16,27,2.90104247363908
16,28,3.4518568040450535
16,29,2.9631893130538245
16,30,2.5944571408388626
16,31,1.4097352253575135
16,32,0.8116780493380954
16,33,1.2231892487577103
16,34,0.5099931259399918
16,35,0.23594927305890706
16,36,0.0
16,37,0.568850019255148
16,38,1.677223035468346
16,39,0.0
16,40,0.0
16,41,0.0
16,42,0.0
16,43,0.0
16,44,0.0
16,45,0.0
16,46,0.23401371176072544
16,47,0.0
16,48,0.0
16,49,0.3484640422062508
16,50,0.0
16,51,0.0
16,52,0.0
16,53,0.0
16,54,0.0
16,55,0.0
16,56,0.0
16,57,0.0
16,58,8.949328604894695e-07
16,59,0.0
17,0,0.32270794702712596
17,1,0.4953648918920907
17,2,1.0289717249868067
17,3,6.037954564001134
17,4,37.859868010976335
17,5,80.93630936512103
17,6,132.6281329956879
17,7,198.8985369094062
17,8,267.00275110754546
17,9,293.4218173210662
17,10,281.8449469761059
17,11,340.84883208439965
17,12,305.6592962307398
17,13,282.3880178349679
17,14,278.4468980251099
17,15,267.3574026632561
17,16,208.3859445570773
17,17,147.38514998546154
17,18,93.04480082172785
17,19,60.82961902310799
17,20,35.0694754453694
17,21,25.699008342713473
17,22,19.4563035846959
17,23,17.92432064634515
17,24,9.116611523045176
17,25,5.513627257602017
17,26,7.139637975753781
17,27,3.8225542409540387
17,28,4.772302361489639
17,29,5.914399205512674
17,30,2.010666783451737
17,31,1.5514288650553072
17,32,1.7068140999239012
17,33,0.31129325775134836
17,34,1.6200636911602173
17,35,1.1061209574153756
17,36,0.8450222868918685
17,37,0.8107216341942673
17,38,0.2242680363656052
17,39,0.3152665694926216
17,40,0.40274810561690555
17,41,0.0
17,42,0.3413779439538109
17,43,0.0
17,44,0.0
17,45,0.0
17,46,0.0
17,47,0.0
17,48,0.0
17,49,0.0
17,50,0.27836005528139496
17,51,0.0
17,52,0.0
17,53,0.0
17,54,0.0
17,55,0.0
17,56,0.0
17,57,0.0
17,58,0.0
17,59,0.0
18,0,0.0
18,1,0.0
18,2,1.0319155622680827
18,3,9.983524735156415
18,4,38.39350000290799
18,5,81.51527294996963
18,6,134.05214674313078
18,7,183.44435502045465
18,8,229.02232977743878
18,9,292.7586504178158
18,10,295.6798251754815
18,11,324.4750797617627
18,12,314.2764626937228
18,13,326.4578429901204
18,14,304.59710256932357
18,15,276.98448079350385
18,16,230.52698929303406
18,17,195.60368342299722
18,18,152.49397430372875
18,19,90.50766329618845
18,20,63.02484038354471
18,21,37.357809768049655
18,22,22.067074600746793
18,23,16.378566146596214
18,24,13.384320978494099
18,25,6.504421437609776
18,26,6.578082019989282
18,27,4.861200345495167
18,28,4.308245692466297
18,29,5.621752649198714
18,30,3.39800386934306
18,31,3.0407333549103206
18,32,1.8192577562601187
18,33,1.0841300216195777
18,34,0.7086213285010823
18,35,2.037034568494371
18,36,0.6827558879076218
18,37,1.8831455372618775
18,38,0.0
18,39,0.3264652699416682
18,40,1.7011395899678454
18,41,0.0
18,42,0.20479321444731724
18,43,0.0
18,44,0.0
18,45,0.0
18,46,0.35828302579911026
18,47,0.0
18,48,0.0
18,49,0.0
18,50,0.3413779439538109
18,51,0.0
18,52,0.0
18,53,0.0
18,54,0.0
18,55,0.0
18,56,0.0
18,57,0.0
18,58,0.0
18,59,0.0
19,0,0.0
19,1,0.0
19,2,1.0446310987132137
19,3,4.953791741072821
19,4,37.680358296990335
19,5,79.42661526042738
19,6,121.11577731214744
19,7,187.73284904877414
19,8,220.77064683031745
19,9,297.53474968116825
19,10,290.9499847505985
19,11,308.5422189234981
19,12,330.00629483551563
19,13,327.02288678037627
19,14,315.2512031017415
19,15,296.4165779229224
19,16,239.56337963259466
19,17,216.7144470492427
19,18,184.7757374952301
19,19,123.78275202738777
19,20,101.13865705040602
19,21,55.521566384219255
19,22,46.993465227830185
19,23,23.378370790446507
19,24,20.275951069728343
19,25,11.980671591724843
19,26,9.656777397264063
19,27,8.61652460540993
19,28,6.261997942315081
19,29,5.338035194732856
19,30,4.805668005161514
19,31,1.1624183414202334
19,32,0.7935854998804561
19,33,4.137289597544082
19,34,1.9602891467142327
19,35,0.9209642326825025
19,36,0.9489527201560262
19,37,1.5601535032109926
19,38,0.27836005528139496
19,39,0.6163946274141195
19,40,0.1962939728410793
19,41,0.0
19,42,0.0
19,43,0.0
19,44,0.0
19,45,1.5276788107750723
19,46,0.0
19,47,0.0
19,48,0.0
19,49,0.0
19,50,0.0
19,51,0.0
19,52,0.0
19,53,0.0
19,54,0.0
19,55,0.0
19,56,0.0
19,57,0.0
19,58,0.0
19,59,0.0
20,0,0.0
20,1,0.27836005528139496
20,2,0.2904284103720533
20,3,6.026750182687443
20,4,33.415747434409546
20,5,79.83508400519759
20,6,105.21346859081737
20,7,179.97040588988534
20,8,211.13350848883763
20,9,267.5637606257989
20,10,310.1420507995415
20,11,336.5705831805631
20,12,278.06849210923355
20,13,318.2456140613478
20,14,320.20115691439787
20,15,319.54487786700804
20,16,259.16200981529255
20,17,253.0950337664181
20,18,214.56453584615141
20,19,184.81196743649855
20,20,128.84134801963768
20,21,86.18714056770197
20,22,56.24251900979886
20,23,34.56149834280089
20,24,24.920010989649786
20,25,30.860977838164665
20,26,8.529118144210491
20,27,9.184673341267366
20,28,6.81927972747628
20,29,3.33628588823626
20,30,2.6511743948668784
20,31,3.083011494799704
20,32,5.4514830532192695
20,33,2.7062880080267258
20,34,1.1281884385171776
20,35,1.963744228449655
20,36,1.015341709151535
20,37,0.8626250643833373
20,38,1.6540116411853791
20,39,0.5469678450442692
20,40,0.6563033911328982
20,41,0.7678618149385661
20,42,0.0
20,43,0.0
20,44,0.3413779439538109
20,45,0.0
20,46,0.0
20,47,0.0
20,48,0.0
20,49,0.0
20,50,0.0
20,51,0.0
20,52,0.0
20,53,0.0
20,54,0.0
20,55,0.0
20,56,0.0
20,57,0.0
20,58,0.0
20,59,0.0
21,0,0.0
21,1,1.1396612187506023
21,2,0.803615353311342
21,3,5.571425456510459
21,4,35.65658096448273
21,5,66.14480710992815
21,6,116.54874254782929
21,7,150.98093269905894
21,8,216.1990173345437
21,9,238.47061871171388
21,10,265.7325400520906
21,11,280.7662438453578
21,12,297.6170246718287
21,13,293.6857270919564
21,14,312.85060811070537
21,15,279.6344212078751
21,16,277.45120645530477
21,17,241.23493544605378
21,18,197.5674105904012
21,19,192.35622027383744
21,20,169.19175611788702
21,21,144.8021195869767
21,22,80.39807116613376
21,23,58.8526243019111
21,24,36.27754545167508
21,25,20.999402174691216
21,26,20.91469831760208
21,27,16.46042929345772
21,28,7.481760739711255
21,29,6.091586714854939
21,30,7.565107358663365
21,31,3.660159671555145
21,32,8.985089685744118
21,33,2.07554080436026
21,34,2.266515082294017
21,35,0.4222266877754801
21,36,2.468564329445051
21,37,2.8234547025298307
21,38,0.9744459509491801
21,39,2.695428265977966
21,40,0.6177611901068034
21,41,0.0
21,42,0.19611630479661815
21,43,0.3413779439538109
21,44,0.9716470388444904
21,45,0.6381262936558328
21,46,0.19611630479661815
21,47,0.0
21,48,0.27836005528139496
21,49,0.0
21,50,0.0
21,51,0.0
21,52,0.0
21,53,0.0
21,54,0.06668332319630224
21,55,0.0
21,56,0.0
21,57,0.3232638635756319
21,58,0.0
21,59,0.0
22,0,0.0
22,1,0.32655529570398517
22,2,0.9549946678991856
22,3,4.613094814380585
22,4,28.65700557110938
22,5,52.72487097040238
22,6,98.40502324851762
22,7,158.68214219451787
22,8,181.4719253849822
22,9,210.3606419392409
22,10,260.74326334045753
22,11,271.97811751079405
22,12,295.29864461735474
22,13,308.56902916966595
22,14,287.307764777418
22,15,280.5587630765655
22,16,269.1443846507117
22,17,255.29989630999174
22,18,249.1888208614567
22,19,179.47968790262388
22,20,173.49671329993487
22,21,133.83027266269926
22,22,105.0306474416517
22,23,70.77035038676773
22,24,40.53947796578945
22,25,41.516537773134104
22,26,19.903795728668086
22,27,13.319469240286262
22,28,8.414571438596512
22,29,12.303607556518424
22,30,5.504714192345793
22,31,4.036969717278478
22,32,3.0584496623004847
22,33,4.054328374224141
22,34,4.12534902522573
22,35,1.126873030549399
22,36,2.7226475179450924
22,37,1.0872440890809678
22,38,2.09367162275299
22,39,0.8760106938282244
22,40,1.7008523110416458
22,41,2.8373295304964
22,42,1.4435936268028666
22,43,0.0
22,44,0.0
22,45,0.0
22,46,0.0
22,47,0.0
22,48,0.0
22,49,0.0
22,50,0.07135105776396981
22,51,0.9898868588610272
22,52,0.0
22,53,0.0
22,54,0.0
22,55,0.0
22,56,0.0
22,57,0.3413779439538109
22,58,0.0
22,59,0.0
23,0,0.0
23,1,4.286141514752875e-05
23,2,0.9784429862091171
23,3,2.834249689339236
23,4,31.065430593520876
23,5,58.2438817592218
23,6,96.1543869689059
23,7,131.01491624627286
23,8,181.63425369488613
23,9,211.1046218190571
23,10,249.6778910567254
23,11,259.40081587982246
23,12,291.27826864321827
23,13,264.1407937666288
23,14,284.9419703588943
23,15,255.68852925966232
23,16,250.15097734201916
23,17,252.77370710424623
23,18,239.1938523255852
23,19,201.87495383366738
23,20,165.3767241782013
23,21,133.11886534853366
23,22,108.57753935969434
23,23,86.9991459586849
23,24,58.737487801231055
23,25,44.90148392521437
23,26,25.908154246220914
23,27,25.355433153236195
23,28,17.957963443877567
